"Module"	"Gene1"	"Gene2"
"M1"	"TUBB2A"	"FDFT1"
"M1"	"TUBB2A"	"EGR2"
"M1"	"TUBB2A"	"COL5A1"
"M1"	"CLOCK"	"MAGEH1"
"M1"	"CLOCK"	"INPPL1"
"M1"	"CLOCK"	"PTN"
"M1"	"CLOCK"	"CSRNP1"
"M1"	"CLOCK"	"CAMK2A"
"M1"	"CLOCK"	"CLCN3"
"M1"	"CLOCK"	"VRK1"
"M1"	"CLOCK"	"TMED1"
"M1"	"CLOCK"	"MPPED1"
"M1"	"CLOCK"	"KIF15"
"M1"	"CLOCK"	"PTP4A1"
"M1"	"CLOCK"	"NUCKS1"
"M1"	"CLOCK"	"DOCK1"
"M1"	"CLOCK"	"PLEKHA2"
"M1"	"CLOCK"	"TWF1"
"M1"	"CLOCK"	"OPCML"
"M1"	"CLOCK"	"GATA1"
"M1"	"CLOCK"	"C2"
"M1"	"CLOCK"	"ATP1A3"
"M1"	"CLOCK"	"HSPE1"
"M1"	"CLOCK"	"H3F3A"
"M1"	"CLOCK"	"LIPG"
"M1"	"CLOCK"	"BORA"
"M1"	"CLOCK"	"TGDS"
"M1"	"CLOCK"	"TRMT6"
"M1"	"SUCLG2"	"CIITA"
"M1"	"SUCLG2"	"RNF43"
"M1"	"SUCLG2"	"UTY"
"M1"	"SUCLG2"	"UGCG"
"M1"	"SUCLG2"	"COL4A2"
"M1"	"ARHGAP26"	"PLK2"
"M1"	"ARHGAP26"	"FAM168A"
"M1"	"CDKN3"	"NEFM"
"M1"	"CDKN3"	"GRIA3"
"M1"	"CDKN3"	"C7"
"M1"	"CDKN3"	"CCDC107"
"M1"	"CDKN3"	"ACAT2"
"M1"	"CDKN3"	"MYO15B"
"M1"	"GUCY1A2"	"DOCK4"
"M1"	"GUCY1A2"	"PPP2R3B"
"M1"	"GUCY1A2"	"AHRR"
"M1"	"GUCY1A2"	"PTP4A1"
"M1"	"GUCY1A2"	"RBMXL3"
"M1"	"GUCY1A2"	"IDI1"
"M1"	"COMMD5"	"PLK2"
"M1"	"C18orf25"	"CAV1"
"M1"	"PIP"	"ABCA6"
"M1"	"JAK2"	"MAPK13"
"M1"	"URM1"	"LCOR"
"M1"	"URM1"	"SLC27A6"
"M1"	"URM1"	"TNS3"
"M1"	"IL4R"	"SLC3A2"
"M1"	"IL4R"	"APOD"
"M1"	"IL4R"	"SNTA1"
"M1"	"IL4R"	"RBM10"
"M1"	"IL4R"	"ERBB2"
"M1"	"IL4R"	"MSRB1"
"M1"	"IL4R"	"SCGB3A2"
"M1"	"IL4R"	"PTP4A1"
"M1"	"IL4R"	"CEACAM5"
"M1"	"IL4R"	"BAIAP2L1"
"M1"	"IL4R"	"GRM3"
"M1"	"IL4R"	"UBE4A"
"M1"	"IL4R"	"ADORA1"
"M1"	"IL4R"	"SLC37A3"
"M1"	"DDX39A"	"ELN"
"M1"	"DDX39A"	"ADAM23"
"M1"	"NOMO1"	"FBN1"
"M1"	"NOMO1"	"CD163"
"M1"	"NOMO1"	"PEMT"
"M1"	"NOMO1"	"HSDL2"
"M1"	"NOMO1"	"PATE3"
"M1"	"NOMO1"	"TMEM167B"
"M1"	"NOMO1"	"HLA-A"
"M1"	"PAK6"	"FOXO1"
"M1"	"PAK6"	"GINS3"
"M1"	"PAK6"	"SENP6"
"M1"	"PAK6"	"MYO1F"
"M1"	"PAK6"	"IRF7"
"M1"	"PAK6"	"S100A13"
"M1"	"PAK6"	"DNAJA3"
"M1"	"PAK6"	"PLG"
"M1"	"PAK6"	"RRAGA"
"M1"	"PAK6"	"CCR4"
"M1"	"PAK6"	"PTP4A1"
"M1"	"PAK6"	"CNTROB"
"M1"	"PAK6"	"EID2"
"M1"	"PAK6"	"RSU1"
"M1"	"PAK6"	"FTSJ2"
"M1"	"IGF2BP2"	"FGFR1"
"M1"	"IGF2BP2"	"SELP"
"M1"	"IGF2BP2"	"SSTR1"
"M1"	"IGF2BP2"	"DNAJB2"
"M1"	"IGF2BP2"	"TFAP2A"
"M1"	"IGF2BP2"	"MRPS25"
"M1"	"IGF2BP2"	"SUB1"
"M1"	"IGF2BP2"	"LPP"
"M1"	"IGF2BP2"	"PTP4A1"
"M1"	"IGF2BP2"	"DCUN1D3"
"M1"	"IGF2BP2"	"HSD11B2"
"M1"	"IGF2BP2"	"CACNA1C"
"M1"	"IGF2BP2"	"EEF1B2"
"M1"	"IGF2BP2"	"TRIM35"
"M1"	"IGF2BP2"	"BCCIP"
"M1"	"IGF2BP2"	"POTEE"
"M1"	"IGF2BP2"	"HAUS1"
"M1"	"IGF2BP2"	"TMEM167B"
"M1"	"IGF2BP2"	"LHCGR"
"M1"	"IGF2BP2"	"EFNA2"
"M1"	"IGF2BP2"	"ALPK1"
"M1"	"IGF2BP2"	"C10orf32"
"M1"	"IGF2BP2"	"SAG"
"M1"	"IGF2BP2"	"ORMDL3"
"M1"	"IGF2BP2"	"SPTBN2"
"M1"	"PCGF1"	"CXCR4"
"M1"	"ANKRD52"	"FGFR2"
"M1"	"FOXRED2"	"APOLD1"
"M1"	"F13A1"	"NDRG2"
"M1"	"F13A1"	"NCAPG"
"M1"	"F13A1"	"HOXB9"
"M1"	"F13A1"	"USP2"
"M1"	"ELL2"	"DHRS13"
"M1"	"RAB4B"	"SORBS2"
"M1"	"RAB4B"	"CRLF1"
"M1"	"NQO2"	"CFLAR"
"M1"	"NQO2"	"TNS3"
"M1"	"DNAJB6"	"DPYSL4"
"M1"	"DNAJB6"	"MOXD1"
"M1"	"ITSN1"	"AOX1"
"M1"	"HECTD1"	"WIF1"
"M1"	"HECTD1"	"NAV3"
"M1"	"HECTD1"	"LOXL3"
"M1"	"ABLIM1"	"ASGR1"
"M1"	"ABLIM1"	"ARRDC1"
"M1"	"ABLIM1"	"PLB1"
"M1"	"ABLIM1"	"CSTF2"
"M1"	"ABLIM1"	"RAPGEF3"
"M1"	"ABLIM1"	"FGFR2"
"M1"	"ABLIM1"	"MPP6"
"M1"	"ABLIM1"	"LPAR1"
"M1"	"ABLIM1"	"ZSCAN20"
"M1"	"ABLIM1"	"CCT7"
"M1"	"ABLIM1"	"EFS"
"M1"	"ABLIM1"	"MPP7"
"M1"	"PALB2"	"TUBA4A"
"M1"	"PALB2"	"ADAMTS10"
"M1"	"OLFML3"	"GSK3B"
"M1"	"OLFML3"	"UTS2"
"M1"	"OLFML3"	"RHOJ"
"M1"	"OLFML3"	"ACY3"
"M1"	"OLFML3"	"S100A13"
"M1"	"OLFML3"	"ZFP91"
"M1"	"OLFML3"	"MAPK8"
"M1"	"OLFML3"	"TLE4"
"M1"	"OLFML3"	"ADAM23"
"M1"	"OLFML3"	"CCDC102A"
"M1"	"OLFML3"	"PURB"
"M1"	"OLFML3"	"ZHX1-C8ORF76"
"M1"	"OLFML3"	"TRPC3"
"M1"	"OLFML3"	"CHRDL2"
"M1"	"OLFML3"	"CANT1"
"M1"	"OLFML3"	"NUDT13"
"M1"	"KLHL13"	"ALDH1A2"
"M1"	"KLHL13"	"DIABLO"
"M1"	"KLHL13"	"PDE2A"
"M1"	"PDGFRA"	"PTP4A1"
"M1"	"PDGFRA"	"MOGAT3"
"M1"	"BAG5"	"USP2"
"M1"	"SIAH2"	"UBC"
"M1"	"PNLIP"	"BTG1"
"M1"	"PNLIP"	"CHRAC1"
"M1"	"PNLIP"	"SMYD2"
"M1"	"PNLIP"	"TAL1"
"M1"	"PNLIP"	"GATA5"
"M1"	"PNLIP"	"STAP2"
"M1"	"PNLIP"	"PPP2R5D"
"M1"	"PNLIP"	"GLRX2"
"M1"	"PNLIP"	"HMGN2"
"M1"	"PNLIP"	"WAC"
"M1"	"PNLIP"	"THOC5"
"M1"	"PNLIP"	"GATM"
"M1"	"PNLIP"	"VAT1L"
"M1"	"PNLIP"	"LHCGR"
"M1"	"PNLIP"	"FAM50B"
"M1"	"PNLIP"	"C17orf85"
"M1"	"PNLIP"	"EXTL1"
"M1"	"PNLIP"	"HAT1"
"M1"	"PNLIP"	"FAM127C"
"M1"	"PNLIP"	"ZBTB6"
"M1"	"PNLIP"	"INPP5A"
"M1"	"PNLIP"	"SWI5"
"M1"	"PNLIP"	"PHACTR2"
"M1"	"PNLIP"	"C8orf74"
"M1"	"FSTL3"	"DNAJC11"
"M1"	"FSTL3"	"PIM2"
"M1"	"FSTL3"	"FOLR3"
"M1"	"FSTL3"	"TRIM59"
"M1"	"FSTL3"	"GDI2"
"M1"	"FSTL3"	"PGM2L1"
"M1"	"FOXO1"	"DDIT4L"
"M1"	"KLF7"	"CRAT"
"M1"	"KLF7"	"ARF6"
"M1"	"KLF7"	"AMIGO3"
"M1"	"KLF7"	"NUCB1"
"M1"	"KLF7"	"REV1"
"M1"	"KLF7"	"E2F4"
"M1"	"KLF7"	"ZFR"
"M1"	"KLF7"	"MUSTN1"
"M1"	"KLF7"	"NELFE"
"M1"	"KLF7"	"KLHDC9"
"M1"	"KLF7"	"HAUS3"
"M1"	"KLF7"	"GADD45B"
"M1"	"KLF7"	"GZMK"
"M1"	"KLF7"	"GNAT3"
"M1"	"KLF7"	"API5"
"M1"	"KLF7"	"LTB4R"
"M1"	"AGTRAP"	"DPYSL4"
"M1"	"AGTRAP"	"CTGF"
"M1"	"AGTRAP"	"DDIT4L"
"M1"	"AGTRAP"	"EPN3"
"M1"	"RXFP2"	"CCDC57"
"M1"	"TACR3"	"ALAS1"
"M1"	"TRIP4"	"EPN3"
"M1"	"MAP1A"	"CIITA"
"M1"	"RCVRN"	"MICALL2"
"M1"	"MAPK13"	"ARHGAP1"
"M1"	"MAPK13"	"PFKFB2"
"M1"	"MAPK13"	"CEP85"
"M1"	"MAPK13"	"OPRM1"
"M1"	"MAPK13"	"CCNT1"
"M1"	"MAPK13"	"NR2C2AP"
"M1"	"MAPK13"	"TAC1"
"M1"	"MAPK13"	"APOA4"
"M1"	"MAPK13"	"SYTL4"
"M1"	"MAPK13"	"TH"
"M1"	"MAPK13"	"TSG101"
"M1"	"MAPK13"	"SKI"
"M1"	"MAPK13"	"POU1F1"
"M1"	"MAPK13"	"ZNRF3"
"M1"	"MAPK13"	"PTP4A1"
"M1"	"MAPK13"	"RELA"
"M1"	"MAPK13"	"UBE2D4"
"M1"	"MAPK13"	"CRELD1"
"M1"	"MAPK13"	"KRT86"
"M1"	"MAPK13"	"TCF7"
"M1"	"MAPK13"	"DENND2D"
"M1"	"MAPK13"	"LYST"
"M1"	"KRBA1"	"TROAP"
"M1"	"KRBA1"	"MXRA8"
"M1"	"CHRNA9"	"SULF2"
"M1"	"NELFB"	"UTY"
"M1"	"NELFB"	"PLK2"
"M1"	"MARCO"	"GIT1"
"M1"	"MARCO"	"ALAS1"
"M1"	"MARCO"	"RASGRF2"
"M1"	"MARCO"	"ONECUT1"
"M1"	"MARCO"	"PLA2G4C"
"M1"	"MARCO"	"ARL13A"
"M1"	"MARCO"	"PTP4A1"
"M1"	"MARCO"	"EIF4B"
"M1"	"MARCO"	"HFE"
"M1"	"MARCO"	"HIGD1A"
"M1"	"PAK3"	"FBXO4"
"M1"	"PAK3"	"IGFALS"
"M1"	"PAK3"	"PTP4A1"
"M1"	"PAK3"	"CORO2B"
"M1"	"PAK3"	"HIST3H3"
"M1"	"PAK3"	"COL9A2"
"M1"	"PAK3"	"DHRS13"
"M1"	"PAK3"	"HELLS"
"M1"	"PAK3"	"FAM173A"
"M1"	"GRHL3"	"HSPA2"
"M1"	"GRHL3"	"PTTG1"
"M1"	"GRHL3"	"NRP2"
"M1"	"TSPYL2"	"PTP4A1"
"M1"	"TSPYL2"	"PPM1B"
"M1"	"TSPYL2"	"TPD52L1"
"M1"	"TSPYL2"	"PANK1"
"M1"	"TSPYL2"	"C20orf27"
"M1"	"TSPYL2"	"LCT"
"M1"	"TSPYL2"	"MED1"
"M1"	"TSPYL2"	"SUPT6H"
"M1"	"TSPYL2"	"RB1"
"M1"	"TSPYL2"	"ZNF516"
"M1"	"TSPYL2"	"OMP"
"M1"	"TSPYL2"	"COL23A1"
"M1"	"TNFRSF11B"	"NPY1R"
"M1"	"TNFRSF11B"	"DRAP1"
"M1"	"TNFRSF11B"	"CACNG2"
"M1"	"TNFRSF11B"	"PDCD6"
"M1"	"TNFRSF11B"	"HIST1H4E"
"M1"	"TNFRSF11B"	"CTDP1"
"M1"	"TNFRSF11B"	"CCL7"
"M1"	"TNFRSF11B"	"BRCA2"
"M1"	"TNFRSF11B"	"NCAN"
"M1"	"TNFRSF11B"	"TXLNA"
"M1"	"TNFRSF11B"	"VBP1"
"M1"	"TNFRSF11B"	"IGFALS"
"M1"	"TNFRSF11B"	"ERBB2"
"M1"	"TNFRSF11B"	"GNG5"
"M1"	"TNFRSF11B"	"PRKAB2"
"M1"	"TNFRSF11B"	"RSPO4"
"M1"	"TNFRSF11B"	"UNKL"
"M1"	"TNFRSF11B"	"SMARCA5"
"M1"	"TNFRSF11B"	"AKIP1"
"M1"	"TNFRSF11B"	"PPIF"
"M1"	"TNFRSF11B"	"UBE4A"
"M1"	"TNFRSF11B"	"MAGI1"
"M1"	"TNFRSF11B"	"C8B"
"M1"	"TNFRSF11B"	"P4HA2"
"M1"	"TNFRSF11B"	"SLC6A12"
"M1"	"TNFRSF11B"	"GRPEL1"
"M1"	"TNFRSF11B"	"YWHAB"
"M1"	"TNFRSF11B"	"PGD"
"M1"	"TNFRSF11B"	"ZNF383"
"M1"	"TNFRSF11B"	"GOT1"
"M1"	"TNFRSF11B"	"RSPO1"
"M1"	"TNFRSF11B"	"MBIP"
"M1"	"TNFRSF11B"	"TMED9"
"M1"	"TNFRSF11B"	"RBM47"
"M1"	"TNFRSF11B"	"CREBL2"
"M1"	"TNFRSF11B"	"SLC19A3"
"M1"	"NIPSNAP3A"	"PLAGL1"
"M1"	"CXCL12"	"PID1"
"M1"	"CXCL12"	"PLAGL1"
"M1"	"CXCL12"	"ADAM2"
"M1"	"CXCL12"	"FGGY"
"M1"	"CXCL12"	"ZNF383"
"M1"	"CXCL12"	"RSPO1"
"M1"	"CXCL12"	"DUSP19"
"M1"	"CXCL12"	"CLTCL1"
"M1"	"CXCL12"	"CTDSP1"
"M1"	"CXCL12"	"IVD"
"M1"	"CXCL12"	"ACAP3"
"M1"	"CXCL12"	"SEC14L2"
"M1"	"EGLN3"	"PTP4A1"
"M1"	"EGLN3"	"TNKS"
"M1"	"GTF2A1L"	"FLNC"
"M1"	"GPSM3"	"NPY1R"
"M1"	"GPSM3"	"NAV3"
"M1"	"STX2"	"LATS1"
"M1"	"STX2"	"KNDC1"
"M1"	"GCLC"	"VAT1L"
"M1"	"IGF1R"	"ATG16L2"
"M1"	"IGF1R"	"FGFR1"
"M1"	"IGF1R"	"KCNK2"
"M1"	"PET100"	"DHRS13"
"M1"	"PET100"	"SLC4A11"
"M1"	"CBFA2T2"	"THY1"
"M1"	"CBFA2T2"	"ATRNL1"
"M1"	"CBFA2T2"	"BCL6"
"M1"	"CBFA2T2"	"GAD1"
"M1"	"CBFA2T2"	"CLDN1"
"M1"	"CBFA2T2"	"POU2F1"
"M1"	"CBFA2T2"	"CDK4"
"M1"	"CBFA2T2"	"EMILIN1"
"M1"	"CBFA2T2"	"GET4"
"M1"	"CBFA2T2"	"DPYSL3"
"M1"	"CBFA2T2"	"GATA5"
"M1"	"CBFA2T2"	"AHRR"
"M1"	"CBFA2T2"	"COL4A2"
"M1"	"CBFA2T2"	"POLR2I"
"M1"	"CBFA2T2"	"SRPX"
"M1"	"CBFA2T2"	"ADAMTS10"
"M1"	"CBFA2T2"	"WNT11"
"M1"	"CHML"	"SLC27A6"
"M1"	"DNAH9"	"POMC"
"M1"	"DNAH9"	"EMP2"
"M1"	"FPR1"	"CD22"
"M1"	"FPR1"	"ABCC8"
"M1"	"FPR1"	"ZHX1"
"M1"	"FPR1"	"UPK2"
"M1"	"FPR1"	"GJD4"
"M1"	"FPR1"	"PID1"
"M1"	"FPR1"	"NPAS4"
"M1"	"FPR1"	"TESK1"
"M1"	"FPR1"	"RINT1"
"M1"	"FPR1"	"ADAM10"
"M1"	"FPR1"	"PTP4A1"
"M1"	"FPR1"	"SRP68"
"M1"	"FPR1"	"AOX1"
"M1"	"FPR1"	"STK33"
"M1"	"FPR1"	"DDX28"
"M1"	"FPR1"	"PTPRN2"
"M1"	"FPR1"	"WEE1"
"M1"	"FPR1"	"SYS1"
"M1"	"GSTM1"	"CCDC23"
"M1"	"GSTM1"	"H2BFM"
"M1"	"GSTM1"	"DNTTIP1"
"M1"	"GSTM1"	"TRIM71"
"M1"	"GSTM1"	"CCL5"
"M1"	"GSTM1"	"YAE1D1"
"M1"	"GSTM1"	"DCAF6"
"M1"	"GSTM1"	"PBK"
"M1"	"GSTM1"	"PTN"
"M1"	"GSTM1"	"HOMER1"
"M1"	"GSTM1"	"CSNK2B"
"M1"	"GSTM1"	"TAPBP"
"M1"	"GSTM1"	"PPL"
"M1"	"GSTM1"	"BCAP29"
"M1"	"GSTM1"	"CHCHD4"
"M1"	"GSTM1"	"PTP4A1"
"M1"	"GSTM1"	"NOLC1"
"M1"	"GSTM1"	"SLC37A4"
"M1"	"GSTM1"	"RBM15B"
"M1"	"GSTM1"	"ADAM2"
"M1"	"GSTM1"	"IVD"
"M1"	"GSTM1"	"LINGO1"
"M1"	"GSTM1"	"ADPRM"
"M1"	"GSTM1"	"DUSP21"
"M1"	"CSF2RA"	"SSTR5"
"M1"	"CSF2RA"	"AOX1"
"M1"	"DNASE1"	"CAV1"
"M1"	"DNASE1"	"ZNF593"
"M1"	"DAZAP1"	"CDT1"
"M1"	"DAZAP1"	"SORBS2"
"M1"	"DAZAP1"	"POSTN"
"M1"	"WWC2"	"DPYSL4"
"M1"	"WWC2"	"RIMS4"
"M1"	"WWC2"	"UBE2C"
"M1"	"WWC2"	"CHL1"
"M1"	"PIGG"	"ALDH1A2"
"M1"	"PIGG"	"CA9"
"M1"	"PIGG"	"AP1S1"
"M1"	"PIGG"	"CD36"
"M1"	"PIGG"	"ADAMTS10"
"M1"	"LRRC41"	"WISP1"
"M1"	"SSH1"	"CISH"
"M1"	"SSH1"	"TINAGL1"
"M1"	"SSH1"	"STAB1"
"M1"	"SSH1"	"DPYSL3"
"M1"	"SSH1"	"FABP4"
"M1"	"CCNK"	"HOOK2"
"M1"	"CCNK"	"RNF39"
"M1"	"CCNK"	"SLC22A12"
"M1"	"CCNK"	"TBCB"
"M1"	"CCNK"	"ZNHIT3"
"M1"	"CCNK"	"TIAL1"
"M1"	"CCNK"	"SLC25A3"
"M1"	"CCNK"	"COMMD1"
"M1"	"CCNK"	"ARRDC4"
"M1"	"CCNK"	"KPNA2"
"M1"	"CCNK"	"PTPRA"
"M1"	"CCNK"	"DOCK4"
"M1"	"CCNK"	"GZMM"
"M1"	"CCNK"	"WDR82"
"M1"	"CCNK"	"FBXO22"
"M1"	"CCNK"	"KLC2"
"M1"	"CCNK"	"TUBA1C"
"M1"	"CCNK"	"DCUN1D2"
"M1"	"CCNK"	"CLCN3"
"M1"	"CCNK"	"SNTA1"
"M1"	"CCNK"	"VAMP3"
"M1"	"CCNK"	"ADAP1"
"M1"	"CCNK"	"IGFALS"
"M1"	"CCNK"	"WDR26"
"M1"	"CCNK"	"SCGB3A2"
"M1"	"CCNK"	"PRKAB2"
"M1"	"CCNK"	"NVL"
"M1"	"CCNK"	"CSRP3"
"M1"	"CCNK"	"FOLR3"
"M1"	"CCNK"	"PTP4A1"
"M1"	"CCNK"	"PIGC"
"M1"	"CCNK"	"SCNN1D"
"M1"	"CCNK"	"RIC8A"
"M1"	"CCNK"	"NUP107"
"M1"	"CCNK"	"CTSG"
"M1"	"CCNK"	"CNOT2"
"M1"	"CCNK"	"JMJD6"
"M1"	"CCNK"	"BEST1"
"M1"	"CCNK"	"CELF3"
"M1"	"CCNK"	"SERPINC1"
"M1"	"TIMP4"	"GPI"
"M1"	"TIMP4"	"MAD2L2"
"M1"	"TIMP4"	"NR2C2AP"
"M1"	"TIMP4"	"TRPV6"
"M1"	"TIMP4"	"PTP4A1"
"M1"	"TIMP4"	"CD2AP"
"M1"	"TIMP4"	"BAIAP2L1"
"M1"	"TIMP4"	"FGFR2"
"M1"	"TIMP4"	"AKT1"
"M1"	"TIMP4"	"SHROOM1"
"M1"	"TIMP4"	"TNS1"
"M1"	"TIMP4"	"ZNF490"
"M1"	"ALDH1A2"	"GAB2"
"M1"	"ALDH1A2"	"WDR5B"
"M1"	"ALDH1A2"	"KCTD10"
"M1"	"ALDH1A2"	"NOC2L"
"M1"	"ALDH1A2"	"GBF1"
"M1"	"ALDH1A2"	"OCRL"
"M1"	"ALDH1A2"	"STX12"
"M1"	"ALDH1A2"	"TAF12"
"M1"	"ALDH1A2"	"NMB"
"M1"	"ALDH1A2"	"KLC2"
"M1"	"ALDH1A2"	"SRSF9"
"M1"	"ALDH1A2"	"TM9SF1"
"M1"	"ALDH1A2"	"ADRB2"
"M1"	"ALDH1A2"	"MATK"
"M1"	"ALDH1A2"	"PTP4A1"
"M1"	"ALDH1A2"	"TOM1L1"
"M1"	"ALDH1A2"	"MAEA"
"M1"	"ALDH1A2"	"MYCBP"
"M1"	"ALDH1A2"	"LONP1"
"M1"	"ALDH1A2"	"MRPS23"
"M1"	"ALDH1A2"	"ADNP"
"M1"	"ALDH1A2"	"NXF3"
"M1"	"ALDH1A2"	"APOLD1"
"M1"	"ALDH1A2"	"KAT5"
"M1"	"ALDH1A2"	"MAPK1IP1L"
"M1"	"ALDH1A2"	"SLC51A"
"M1"	"PMP22"	"CCDC107"
"M1"	"PMP22"	"FAM168A"
"M1"	"DGKQ"	"TBC1D4"
"M1"	"LRIG1"	"SORBS2"
"M1"	"LRIG1"	"HSPA2"
"M1"	"LRIG1"	"CNTFR"
"M1"	"CADPS"	"SORBS2"
"M1"	"CADPS"	"PTN"
"M1"	"CADPS"	"ZBTB37"
"M1"	"NPY1R"	"C4BPA"
"M1"	"NPY1R"	"TBC1D8"
"M1"	"NPY1R"	"PGR"
"M1"	"NPY1R"	"PSMB1"
"M1"	"NPY1R"	"HSPA2"
"M1"	"NPY1R"	"CDH8"
"M1"	"NPY1R"	"PEX2"
"M1"	"NPY1R"	"BIRC7"
"M1"	"NPY1R"	"NTRK2"
"M1"	"NPY1R"	"KPNA3"
"M1"	"NPY1R"	"SDCCAG8"
"M1"	"NPY1R"	"HTRA2"
"M1"	"NPY1R"	"SRR"
"M1"	"NPY1R"	"PRX"
"M1"	"NPY1R"	"MAL2"
"M1"	"NPY1R"	"CAMK2A"
"M1"	"NPY1R"	"FAIM2"
"M1"	"NPY1R"	"NMT2"
"M1"	"NPY1R"	"FCER1A"
"M1"	"NPY1R"	"APBB1IP"
"M1"	"NPY1R"	"CSRP3"
"M1"	"NPY1R"	"CDH3"
"M1"	"NPY1R"	"MPZL1"
"M1"	"NPY1R"	"MPPED1"
"M1"	"NPY1R"	"PTP4A1"
"M1"	"NPY1R"	"ULBP2"
"M1"	"NPY1R"	"SCEL"
"M1"	"NPY1R"	"RGL2"
"M1"	"NPY1R"	"NRARP"
"M1"	"NPY1R"	"CCDC42"
"M1"	"NPY1R"	"GAS1"
"M1"	"NPY1R"	"CYP11A1"
"M1"	"NPY1R"	"MLLT6"
"M1"	"NPY1R"	"OLIG3"
"M1"	"NPY1R"	"PRKAA2"
"M1"	"NPY1R"	"STON2"
"M1"	"NPY1R"	"REG1A"
"M1"	"NPY1R"	"CLCA1"
"M1"	"NPY1R"	"VAMP1"
"M1"	"NPY1R"	"MPDZ"
"M1"	"NPY1R"	"SLC16A4"
"M1"	"NPY1R"	"PCDHA6"
"M1"	"NPY1R"	"ELAVL2"
"M1"	"NPY1R"	"EP400"
"M1"	"NPY1R"	"TMEM55B"
"M1"	"ARID2"	"DES"
"M1"	"ARID2"	"DPYSL3"
"M1"	"ARID2"	"LATS1"
"M1"	"CHKA"	"KIRREL"
"M1"	"MDK"	"DCAF11"
"M1"	"MDK"	"GPX1"
"M1"	"MDK"	"MEF2C"
"M1"	"MDK"	"MPP5"
"M1"	"MDK"	"LSM14B"
"M1"	"MDK"	"ATP4B"
"M1"	"MDK"	"GAST"
"M1"	"MDK"	"NAT14"
"M1"	"TJP1"	"AHRR"
"M1"	"TJP1"	"MICALL2"
"M1"	"STMN4"	"PID1"
"M1"	"STMN4"	"CCNB2"
"M1"	"STMN4"	"UTY"
"M1"	"STMN4"	"NNMT"
"M1"	"PHF10"	"FBLN5"
"M1"	"PHF10"	"NPTX2"
"M1"	"PHF10"	"AHRR"
"M1"	"PHF10"	"ACSS3"
"M1"	"VAMP7"	"ALAS1"
"M1"	"VAMP7"	"CDKN1A"
"M1"	"VAMP7"	"TNFRSF12A"
"M1"	"VAMP7"	"CNTFR"
"M1"	"VAMP7"	"NEIL1"
"M1"	"VAMP7"	"MAPK4"
"M1"	"ST13"	"SLCO2B1"
"M1"	"METTL22"	"APOLD1"
"M1"	"METTL22"	"ABCC3"
"M1"	"GCA"	"HLF"
"M1"	"ZNF598"	"EMILIN1"
"M1"	"ZNF598"	"CAV1"
"M1"	"ZNF598"	"FIBCD1"
"M1"	"PCGF3"	"VSNL1"
"M1"	"PCGF3"	"MSI2"
"M1"	"PCGF3"	"DHRS13"
"M1"	"DAD1"	"CFLAR"
"M1"	"CARNS1"	"CAV1"
"M1"	"CARNS1"	"DHRS13"
"M1"	"STK4"	"SHC3"
"M1"	"STK4"	"DHRS13"
"M1"	"SIK1"	"ATG16L2"
"M1"	"SIK1"	"WIPF3"
"M1"	"SIK1"	"NLRP4"
"M1"	"SIK1"	"REN"
"M1"	"SIK1"	"SOCS6"
"M1"	"SIK1"	"NCK1"
"M1"	"SIK1"	"PDLIM5"
"M1"	"SIK1"	"MRPS25"
"M1"	"SIK1"	"TBC1D16"
"M1"	"SIK1"	"PHACTR4"
"M1"	"SIK1"	"BTBD3"
"M1"	"SIK1"	"TAPBP"
"M1"	"SIK1"	"KLC2"
"M1"	"SIK1"	"IVL"
"M1"	"SIK1"	"LCOR"
"M1"	"SIK1"	"CDC25C"
"M1"	"SIK1"	"OS9"
"M1"	"SIK1"	"ERAS"
"M1"	"SIK1"	"CNTFR"
"M1"	"SIK1"	"WDR26"
"M1"	"SIK1"	"DCAF17"
"M1"	"SIK1"	"PTP4A1"
"M1"	"SIK1"	"AR"
"M1"	"SIK1"	"RPS10"
"M1"	"SIK1"	"BCL6B"
"M1"	"SIK1"	"CXCR2"
"M1"	"SIK1"	"UBE2R2"
"M1"	"SIK1"	"TEFM"
"M1"	"SIK1"	"DNAJC5"
"M1"	"SIK1"	"RNF25"
"M1"	"SIK1"	"LONP1"
"M1"	"SIK1"	"GABRA4"
"M1"	"SIK1"	"PTPRU"
"M1"	"SIK1"	"ADRB1"
"M1"	"SIK1"	"POLR3H"
"M1"	"SIK1"	"RBM4"
"M1"	"SIK1"	"MB"
"M1"	"SIK1"	"CACNA1C"
"M1"	"SIK1"	"TEP1"
"M1"	"SIK1"	"C1QA"
"M1"	"SIK1"	"ACVR2B"
"M1"	"SIK1"	"ABCC4"
"M1"	"SIK1"	"ANKMY2"
"M1"	"SIK1"	"ZNF2"
"M1"	"SIK1"	"LRRK2"
"M1"	"SIK1"	"LY6G6F"
"M1"	"SIK1"	"PCDH17"
"M1"	"SIK1"	"PLAU"
"M1"	"SIK1"	"AHCY"
"M1"	"SIK1"	"EPHA4"
"M1"	"SIK1"	"BRF2"
"M1"	"SIK1"	"BDNF"
"M1"	"SIK1"	"AGXT"
"M1"	"SIK1"	"NOSIP"
"M1"	"SIK1"	"GPAA1"
"M1"	"SIK1"	"SLC25A4"
"M1"	"SIK1"	"ZBTB6"
"M1"	"SIK1"	"DUSP19"
"M1"	"SIK1"	"DDX28"
"M1"	"SIK1"	"RB1"
